BUYER_COUNTY,BUYER_STATE,Year,MME,CALC_BASE_WT_IN_GM
AIKEN,SC,2013,67656533.8165875,51185.977252724995
AIKEN,SC,2014,71576687.8056,52849.1320004
AIKEN,SC,2015,72739109.4036,53139.5377524
AIKEN,SC,2016,67004156.51895,48646.1992893
AIKEN,SC,2017,58868444.92005,42628.2822667
AIKEN,SC,2018,47061720.3966,34089.9313344
AIKEN,SC,2019,42562928.3949,30906.7757866
AITKIN,MN,2006,3425392.2615,2525.098991
AITKIN,MN,2007,3476654.4,2592.97435
AITKIN,MN,2008,3644565.075,2771.5088
AITKIN,MN,2009,4236122.625,3218.5503
AITKIN,MN,2010,5295389.025,3929.9746999999998
AITKIN,MN,2011,6164001.907725,4547.08925515
AITKIN,MN,2012,6317701.238625,4652.07797575
AITKIN,MN,2013,6870204.975,5015.5706
AITKIN,MN,2014,7266571.7325,5296.625045
AITKIN,MN,2015,7682723.85,5586.2586
AITKIN,MN,2016,7065416.962499999,5162.2595249999995
AITKIN,MN,2017,6080298.3375,4436.901774999999
AITKIN,MN,2018,4478198.5125,3279.690075
AITKIN,MN,2019,3586838.52,2603.37802
ALACHUA,FL,2006,82596618.68772501,60803.41044215
ALACHUA,FL,2007,95264077.6667875,69849.63214452499
ALACHUA,FL,2008,114679035.9417625,83288.688986175
ALACHUA,FL,2009,141292808.080425,101403.17850694999
ALACHUA,FL,2010,150921955.5058875,107187.575793925
ALACHUA,FL,2011,145586208.8542875,103737.617609525
ALACHUA,FL,2012,127724752.5065625,91186.510474375
ALACHUA,FL,2013,107443038.990675,77467.05927045
ALACHUA,FL,2014,102635251.905,74002.25218
ALACHUA,FL,2015,105979623.5025,75667.277565
ALACHUA,FL,2016,105918512.10779999,75363.92420519999
ALACHUA,FL,2017,103774427.76,73702.94896
ALACHUA,FL,2018,87171105.6864,62015.4799476
ALACHUA,FL,2019,78445642.85249999,55730.237915
ALAMANCE,NC,2006,36524619.6248625,27460.811756075
ALAMANCE,NC,2007,44334374.7368625,33409.247494575
ALAMANCE,NC,2008,49518179.2425,36606.27335
ALAMANCE,NC,2009,51280617.0724875,37741.396583325
ALAMANCE,NC,2010,49989442.8759,36863.9350156
ALAMANCE,NC,2011,54632333.5613625,40381.688997574995
ALAMANCE,NC,2012,57328775.925,42314.8663
ALAMANCE,NC,2013,57528147.63,42299.75038
ALAMANCE,NC,2014,59565715.402725,43298.69282515
ALAMANCE,NC,2015,60369444.7725,43357.931435
ALAMANCE,NC,2016,58130834.9625,41621.720225
ALAMANCE,NC,2017,51891478.3125,37163.081525
ALAMANCE,NC,2018,44356259.0175,31687.257204999998
ALAMANCE,NC,2019,42840467.9175,30581.883804999998
ALAMEDA,CA,2006,376794971.3872,329511.8448703
ALAMEDA,CA,2007,507605266.9026375,451862.199290425
ALAMEDA,CA,2008,535260159.5834,467346.6394291
ALAMEDA,CA,2009,589303994.422875,506117.28495025
ALAMEDA,CA,2010,604935343.9773375,521532.096965225
ALAMEDA,CA,2011,618706224.6818625,537563.574543175
ALAMEDA,CA,2012,632158597.075725,549983.21284715
ALAMEDA,CA,2013,597125857.2279,524086.5398571
ALAMEDA,CA,2014,525897881.1981375,457410.495040425
ALAMEDA,CA,2015,354973329.5184,287356.2015256
ALAMEDA,CA,2016,333303076.0878,269018.4954202
ALAMEDA,CA,2017,284859664.2999,230611.5839291
ALAMEDA,CA,2018,229614680.1426,186694.1792134
ALAMEDA,CA,2019,181435033.6614,148620.2150826
ALAMOSA,CO,2006,8719603.0342125,6426.853479474999
ALAMOSA,CO,2007,9800599.3404125,7250.375010275
ALAMOSA,CO,2008,11335397.909287501,8301.977539525
ALAMOSA,CO,2009,12497932.92795,9177.5729603
ALAMOSA,CO,2010,12970262.9138625,9451.776737575
ALAMOSA,CO,2011,15352656.0038625,11116.566402575
ALAMOSA,CO,2012,19642141.3322625,13998.628133175
ALAMOSA,CO,2013,17369556.9115875,12374.594807725
ALAMOSA,CO,2014,13966523.1,9995.9246
ALAMOSA,CO,2015,15692519.6889,11088.551312599999
ALAMOSA,CO,2016,15198851.16,10708.282659999999
ALAMOSA,CO,2017,9304861.8078,6623.893305199999
ALAMOSA,CO,2018,7240340.5875,5166.624024999999
ALAMOSA,CO,2019,6359010.975,4529.4785999999995
ALBANY,NY,2006,37447688.935862504,31840.473315575
ALBANY,NY,2007,43628822.1530375,36824.862297025
ALBANY,NY,2008,51840951.43745,42877.6786983
ALBANY,NY,2009,61451985.67545,49975.9186703
ALBANY,NY,2010,63538289.4865875,51232.056107725
ALBANY,NY,2011,67064309.96295,53738.2031453
ALBANY,NY,2012,69660828.6131625,55089.175728775
ALBANY,NY,2013,69977964.488625,54787.51810075
ALBANY,NY,2014,71027944.7068125,54297.162387874996
ALBANY,NY,2015,69993228.0306,53286.3076504
ALBANY,NY,2016,64475784.0798,48869.272333199995
ALBANY,NY,2017,57914462.997,43582.266427999995
ALBANY,NY,2018,50473262.067,37918.556048
ALBANY,NY,2019,46535106.2925,34767.490405
ALBANY,WY,2006,5186430.6315,3954.4015710000003
ALBANY,WY,2007,4949510.0625,3795.647325
ALBANY,WY,2008,4506158.625,3458.1053
ALBANY,WY,2009,5286122.2125,3997.6051749999997
ALBANY,WY,2010,5823596.1375,4441.887925
ALBANY,WY,2011,5705107.574999999,4363.4505
ALBANY,WY,2012,5877512.408175001,4484.39565045
ALBANY,WY,2013,5906254.875,4476.5615
ALBANY,WY,2014,6430064.8875,4809.977325
ALBANY,WY,2015,6072790.7289,4518.2671026
ALBANY,WY,2016,5016954.3375,3741.122775
ALBANY,WY,2017,4320250.1325,3274.594945
ALBANY,WY,2018,3944736.225,2962.8446
ALBANY,WY,2019,3074046.4125,2345.303975
ALBEMARLE,VA,2006,15666940.975499999,11766.387047
ALBEMARLE,VA,2007,16413333.450225001,12403.80925015
ALBEMARLE,VA,2008,17589891.1239,13497.6009726
ALBEMARLE,VA,2009,20055712.0988625,15245.459072574999
ALBEMARLE,VA,2010,18436970.2838625,13968.059632575
ALBEMARLE,VA,2011,20206735.5338625,15075.759632575
ALBEMARLE,VA,2012,21460689.9525,15909.136115
ALBEMARLE,VA,2013,21753558.232725002,15964.11045515
ALBEMARLE,VA,2014,22375912.5643125,16280.645932874999
ALBEMARLE,VA,2015,22188895.8831,16020.893315399999
ALBEMARLE,VA,2016,19458137.0742,14011.361382799998
ALBEMARLE,VA,2017,16472502.675,11850.821049999999
ALBEMARLE,VA,2018,13233386.3475,9505.179035
ALBEMARLE,VA,2019,12130612.215,8693.65534
ALCONA,MI,2006,1409599.2375,1236.126575
ALCONA,MI,2007,1625547.3038625,1395.378302575
ALCONA,MI,2008,1829234.8125,1559.321075
ALCONA,MI,2009,2014178.475,1739.62535
ALCONA,MI,2010,1889612.475,1650.02285
